n,naive::fib(n),top_down::fib(n),bottom_up::fib(n)
1,2e-07,2e-07,0
2,1e-07,1.7e-06,0
3,0,1.4e-06,1e-07
4,1e-07,1.3e-06,0
5,1e-07,1.3e-06,1e-07
6,1e-07,1.4e-06,0
7,1e-07,1.3e-06,1e-07
8,2e-07,1.3e-06,0
9,3e-07,1.4e-06,0
10,4e-07,1.5e-06,0
11,5e-07,1.4e-06,1e-07
12,7e-07,1.4e-06,1e-07
13,1e-06,1.9e-06,1e-07
14,1.7e-06,3.2e-06,1e-07
15,2.7e-06,1.6e-06,1e-07
16,4.3e-06,1.4e-06,1e-07
17,6.9e-06,1.5e-06,1e-07
18,1.1e-05,1.4e-06,2e-07
19,1.78e-05,1.4e-06,2e-07
20,2.87e-05,1.4e-06,1e-07
21,4.65e-05,1.4e-06,1e-07
22,7.49e-05,1.7e-06,1e-07
23,0.0001217,1.6e-06,1e-07
24,0.0001963,1.7e-06,1e-07
25,0.0003203,2.1e-06,1e-07
26,0.0005165,2.4e-06,2e-07
27,0.0008357,2.5e-06,1e-07
28,0.0012852,2.2e-06,2e-07
29,0.0019076,2.8e-06,1e-07
30,0.0030697,2.8e-06,1e-07
31,0.0049133,2.3e-06,2e-07
32,0.0082422,4.1e-06,2e-07
33,0.0126852,4.2e-06,1e-07
34,0.0227983,4.7e-06,1e-07
35,0.0388707,2.8e-06,1e-07
36,0.0603864,2.6e-06,2e-07
37,0.0919928,3.2e-06,2e-07
38,0.160638,3.1e-06,2e-07
39,0.223069,3.3e-06,1e-07
40,0.358271,2.8e-06,2e-07
